fecha;Run Fondo;serie;"1M";"3M";"6M";"1Y";ytd
2023-03-16;8295;APV;0.91%;-1.23%;-0.68%;4.85%;-0.83%
2023-03-17;8295;APV;1.37%;-1.14%;-0.60%;4.87%;-0.72%
2023-03-18;8295;APV;1.35%;-1.16%;-0.62%;4.47%;-0.72%
2023-03-19;8295;APV;1.33%;-1.02%;-0.64%;4.46%;-0.71%
2023-03-20;8295;APV;1.42%;-0.83%;-0.22%;4.62%;-0.55%
2023-03-21;8295;APV;1.97%;-0.53%;-0.22%;4.89%;-0.39%
2023-03-22;8295;APV;1.72%;-0.31%;-0.03%;4.72%;-0.59%
2023-03-23;8295;APV;1.33%;-0.70%;-0.28%;4.78%;-0.71%
2023-03-24;8295;APV;1.38%;-0.42%;-0.01%;4.91%;-0.41%
2023-03-25;8295;APV;1.36%;-0.44%;-0.04%;5.03%;-0.41%
2023-03-26;8295;APV;1.34%;-0.51%;0.16%;5.03%;-0.40%
2023-03-27;8295;APV;0.55%;-0.80%;0.31%;4.68%;-0.72%
2023-03-28;8295;APV;0.50%;-0.43%;0.69%;4.87%;-0.77%
2023-03-29;8295;APV;0.48%;-0.67%;1.23%;4.54%;-0.78%
2023-03-30;8295;APV;0.77%;-0.50%;1.66%;4.48%;-0.50%
2023-03-31;8295;APV;0.98%;-0.31%;1.87%;4.55%;-0.29%
2023-04-01;8295;APV;1.40%;-0.33%;1.84%;4.21%;-0.28%
2023-04-02;8295;APV;1.88%;-0.35%;1.82%;4.20%;-0.28%
2023-04-03;8295;APV;2.03%;0.42%;1.93%;4.71%;0.21%
2023-04-04;8295;APV;2.18%;0.44%;2.44%;4.63%;0.38%
2023-04-05;8295;APV;2.02%;0.35%;2.31%;4.80%;0.24%
2023-04-06;8295;APV;2.73%;0.78%;3.12%;5.36%;0.70%
2023-04-07;8295;APV;3.00%;0.76%;3.41%;5.07%;0.70%
2023-04-08;8295;APV;2.73%;0.74%;3.38%;4.69%;0.70%
2023-04-09;8295;APV;3.08%;0.87%;3.35%;4.68%;0.71%
2023-04-10;8295;APV;3.05%;0.74%;3.33%;4.65%;0.71%
2023-04-11;8295;APV;2.70%;0.12%;3.62%;4.49%;0.37%
2023-04-12;8295;APV;2.28%;-0.37%;3.28%;4.55%;-0.04%
2023-04-13;8295;APV;1.08%;-0.45%;2.49%;4.15%;-0.10%
2023-04-14;8295;APV;1.27%;-0.37%;2.69%;3.96%;-0.01%
2023-04-15;8295;APV;1.12%;-0.35%;2.69%;3.94%;0.01%
2023-04-16;8295;APV;0.87%;-0.11%;2.69%;3.93%;0.04%
2023-04-17;8295;APV;0.83%;0.02%;1.96%;3.96%;0.11%
2023-04-18;8295;APV;0.57%;0.01%;1.27%;3.75%;-0.15%
2023-04-19;8295;APV;0.32%;-0.61%;1.18%;3.32%;-0.39%
2023-04-20;8295;APV;-0.03%;-0.74%;1.33%;3.14%;-0.58%
2023-04-21;8295;APV;-0.38%;-0.92%;0.71%;3.44%;-0.76%
2023-04-22;8295;APV;-0.14%;-0.91%;0.71%;3.68%;-0.73%
2023-04-23;8295;APV;0.01%;-1.00%;0.72%;3.67%;-0.71%
2023-04-24;8295;APV;0.09%;-0.39%;1.19%;4.03%;-0.32%
2023-04-25;8295;APV;0.14%;-0.32%;1.18%;3.94%;-0.27%
2023-04-26;8295;APV;0.01%;-0.72%;1.27%;4.46%;-0.39%
2023-04-27;8295;APV;0.38%;-0.56%;1.28%;4.30%;-0.35%
2023-04-28;8295;APV;0.59%;-0.40%;1.57%;3.83%;-0.18%
2023-04-29;8295;APV;0.63%;-0.39%;1.58%;4.49%;-0.16%
2023-04-30;8295;APV;0.37%;-0.32%;1.58%;4.48%;-0.13%
2023-05-01;8295;APV;0.18%;0.43%;1.56%;4.46%;-0.10%
2023-05-02;8295;APV;0.21%;0.46%;1.86%;4.48%;-0.07%
2023-05-03;8295;APV;-0.29%;0.72%;1.51%;4.40%;-0.08%
2023-05-04;8295;APV;-0.53%;0.63%;1.55%;3.82%;-0.15%
2023-05-05;8295;APV;-0.37%;0.64%;1.55%;4.63%;-0.13%
2023-05-06;8295;APV;-0.80%;0.76%;1.55%;5.23%;-0.11%
2023-05-07;8295;APV;-0.77%;0.93%;1.95%;5.23%;-0.07%
2023-05-08;8295;APV;-0.70%;1.32%;1.62%;5.26%;0.00%
2023-05-09;8295;APV;-0.90%;1.09%;1.20%;5.64%;-0.20%
2023-05-10;8295;APV;-1.00%;1.08%;0.82%;5.49%;-0.30%
2023-05-11;8295;APV;-0.42%;1.30%;0.71%;5.78%;-0.05%
2023-05-12;8295;APV;-0.38%;0.91%;0.32%;5.11%;-0.43%
2023-05-13;8295;APV;-0.28%;1.22%;0.34%;4.82%;-0.39%
2023-05-14;8295;APV;-0.36%;1.46%;-0.15%;4.80%;-0.37%
2023-05-15;8295;APV;-0.55%;1.35%;-0.83%;4.60%;-0.54%
2023-05-16;8295;APV;-0.43%;1.35%;-0.87%;4.69%;-0.39%
2023-05-17;8295;APV;-0.31%;1.90%;-0.84%;4.50%;-0.20%
2023-05-18;8295;APV;-0.11%;1.81%;-0.99%;4.73%;-0.26%
2023-05-19;8295;APV;0.07%;1.73%;-1.07%;4.39%;-0.32%
2023-05-20;8295;APV;0.27%;1.67%;-1.07%;4.35%;-0.31%
2023-05-21;8295;APV;0.46%;2.06%;-1.79%;4.33%;-0.30%
2023-05-22;8295;APV;0.43%;2.02%;-1.67%;4.29%;-0.31%
2023-05-23;8295;APV;0.15%;1.49%;-1.76%;3.67%;-0.55%
2023-05-24;8295;APV;-0.25%;1.22%;-1.58%;3.40%;-0.57%
2023-05-25;8295;APV;-0.64%;0.85%;-1.86%;2.84%;-0.91%
2023-05-26;8295;APV;-0.54%;0.81%;-1.89%;2.71%;-0.93%
2023-05-27;8295;APV;-0.57%;0.35%;-1.89%;2.52%;-0.92%
2023-05-28;8295;APV;-0.72%;0.35%;-1.76%;2.50%;-0.91%
2023-05-29;8295;APV;-0.72%;0.38%;-1.89%;2.50%;-0.88%
2023-05-30;8295;APV;-0.81%;0.32%;-2.06%;2.16%;-0.94%
